"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 25 02:23:20 UTC 2024","Mon Mar 25 02:23:44 UTC 2024","23294","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Mon Mar 25 04:48:45 UTC 2024","Mon Mar 25 04:48:47 UTC 2024","2463","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Mon Mar 25 04:42:00 UTC 2024","Mon Mar 25 04:46:11 UTC 2024","250757","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Mon Mar 25 02:53:07 UTC 2024","Mon Mar 25 02:53:09 UTC 2024","1970","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Mon Mar 25 05:25:00 UTC 2024","Mon Mar 25 05:25:03 UTC 2024","2956","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Mar 25 05:04:35 UTC 2024","Mon Mar 25 05:04:38 UTC 2024","3022","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Mon Mar 25 05:06:37 UTC 2024","Mon Mar 25 05:07:55 UTC 2024","77760","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Mon Mar 25 02:49:51 UTC 2024","Mon Mar 25 02:49:58 UTC 2024","7417","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Mar 25 05:05:56 UTC 2024","Mon Mar 25 05:05:58 UTC 2024","1603","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Mon Mar 25 04:48:21 UTC 2024","Mon Mar 25 04:48:35 UTC 2024","13645","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Mon Mar 25 04:41:46 UTC 2024","Mon Mar 25 04:42:00 UTC 2024","13399","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Mon Mar 25 02:26:53 UTC 2024","Mon Mar 25 02:26:59 UTC 2024","5842","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Mon Mar 25 02:34:41 UTC 2024","Mon Mar 25 02:34:46 UTC 2024","5187","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Mar 25 04:50:49 UTC 2024","Mon Mar 25 04:50:56 UTC 2024","6256","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Mon Mar 25 03:25:51 UTC 2024","Mon Mar 25 03:25:52 UTC 2024","1284","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Mon Mar 25 02:59:00 UTC 2024","Mon Mar 25 02:59:02 UTC 2024","2515","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Mar 25 02:55:03 UTC 2024","Mon Mar 25 02:55:19 UTC 2024","16019","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Mar 25 04:50:56 UTC 2024","Mon Mar 25 04:50:56 UTC 2024","321","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Mon Mar 25 02:56:21 UTC 2024","Mon Mar 25 02:56:25 UTC 2024","3681","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Mar 25 04:00:19 UTC 2024","Mon Mar 25 04:00:22 UTC 2024","2934","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Mar 25 02:49:09 UTC 2024","Mon Mar 25 02:49:29 UTC 2024","20423","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Mar 25 02:55:19 UTC 2024","Mon Mar 25 02:55:28 UTC 2024","8536","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Mon Mar 25 04:00:47 UTC 2024","Mon Mar 25 04:01:35 UTC 2024","47952","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Mon Mar 25 02:23:20 UTC 2024","Mon Mar 25 02:23:20 UTC 2024","27","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Mon Mar 25 02:49:02 UTC 2024","Mon Mar 25 02:49:09 UTC 2024","7275","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Mon Mar 25 02:52:13 UTC 2024","Mon Mar 25 02:53:07 UTC 2024","53617","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Mon Mar 25 04:52:37 UTC 2024","Mon Mar 25 04:52:44 UTC 2024","6959","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Mon Mar 25 02:58:33 UTC 2024","Mon Mar 25 02:58:37 UTC 2024","3656","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Mon Mar 25 02:34:16 UTC 2024","Mon Mar 25 02:34:32 UTC 2024","15529","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Mar 25 02:24:54 UTC 2024","Mon Mar 25 02:25:04 UTC 2024","9898","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Mon Mar 25 03:30:24 UTC 2024","Mon Mar 25 03:30:29 UTC 2024","4934","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Mon Mar 25 03:03:24 UTC 2024","Mon Mar 25 03:03:40 UTC 2024","16172","","9. Client Portal - Home","","","","1. Check links",""
"passed","Mon Mar 25 02:52:03 UTC 2024","Mon Mar 25 02:52:05 UTC 2024","2142","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Mon Mar 25 02:52:10 UTC 2024","Mon Mar 25 02:52:13 UTC 2024","3286","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Mon Mar 25 03:25:01 UTC 2024","Mon Mar 25 03:25:12 UTC 2024","10881","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Mon Mar 25 04:51:09 UTC 2024","Mon Mar 25 04:51:10 UTC 2024","977","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Mon Mar 25 04:51:07 UTC 2024","Mon Mar 25 04:51:09 UTC 2024","1040","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Mon Mar 25 02:51:07 UTC 2024","Mon Mar 25 02:51:11 UTC 2024","4241","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Mon Mar 25 05:03:33 UTC 2024","Mon Mar 25 05:03:38 UTC 2024","4209","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Mon Mar 25 02:24:30 UTC 2024","Mon Mar 25 02:24:39 UTC 2024","8640","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Mon Mar 25 02:35:07 UTC 2024","Mon Mar 25 02:35:15 UTC 2024","7771","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Mar 25 05:03:12 UTC 2024","Mon Mar 25 05:03:24 UTC 2024","12118","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Mon Mar 25 02:32:37 UTC 2024","Mon Mar 25 02:32:38 UTC 2024","553","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Mon Mar 25 02:30:35 UTC 2024","Mon Mar 25 02:30:39 UTC 2024","4493","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Mar 25 02:58:10 UTC 2024","Mon Mar 25 02:58:19 UTC 2024","8621","","6. Company Account","","","","2. Create a Company Account",""
"passed","Mon Mar 25 05:04:04 UTC 2024","Mon Mar 25 05:04:08 UTC 2024","3553","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Mon Mar 25 02:36:45 UTC 2024","Mon Mar 25 02:36:45 UTC 2024","432","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Mar 25 02:26:36 UTC 2024","Mon Mar 25 02:26:53 UTC 2024","17157","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Mon Mar 25 03:28:21 UTC 2024","Mon Mar 25 03:28:25 UTC 2024","3844","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Mon Mar 25 04:52:44 UTC 2024","Mon Mar 25 04:53:02 UTC 2024","18613","","21. Forgot password function","","","","2. Reset password",""
"passed","Mon Mar 25 02:56:25 UTC 2024","Mon Mar 25 02:56:25 UTC 2024","395","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Mar 25 02:36:41 UTC 2024","Mon Mar 25 02:36:45 UTC 2024","3560","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Mar 25 02:59:02 UTC 2024","Mon Mar 25 02:59:03 UTC 2024","355","","6. Company Account","","","","9. Review Final Review",""
"passed","Mon Mar 25 02:34:46 UTC 2024","Mon Mar 25 02:35:07 UTC 2024","21001","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Mar 25 02:34:32 UTC 2024","Mon Mar 25 02:34:41 UTC 2024","9213","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Mon Mar 25 02:56:01 UTC 2024","Mon Mar 25 02:56:21 UTC 2024","20098","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Mon Mar 25 02:51:11 UTC 2024","Mon Mar 25 02:52:03 UTC 2024","51575","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Mon Mar 25 02:25:04 UTC 2024","Mon Mar 25 02:25:30 UTC 2024","26043","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Mon Mar 25 04:51:04 UTC 2024","Mon Mar 25 04:51:07 UTC 2024","3261","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Mon Mar 25 02:25:53 UTC 2024","Mon Mar 25 02:25:57 UTC 2024","3746","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Mon Mar 25 02:58:19 UTC 2024","Mon Mar 25 02:58:23 UTC 2024","4286","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Mar 25 03:28:25 UTC 2024","Mon Mar 25 03:28:25 UTC 2024","316","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Mon Mar 25 02:23:44 UTC 2024","Mon Mar 25 02:24:08 UTC 2024","24277","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Mon Mar 25 04:50:36 UTC 2024","Mon Mar 25 04:50:49 UTC 2024","13766","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Mon Mar 25 04:00:22 UTC 2024","Mon Mar 25 04:00:45 UTC 2024","23404","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Mon Mar 25 02:30:39 UTC 2024","Mon Mar 25 02:30:59 UTC 2024","20453","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Mar 25 02:31:05 UTC 2024","Mon Mar 25 02:31:12 UTC 2024","6489","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Mon Mar 25 02:49:29 UTC 2024","Mon Mar 25 02:49:51 UTC 2024","21471","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Mar 25 02:36:25 UTC 2024","Mon Mar 25 02:36:28 UTC 2024","3378","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Mon Mar 25 03:30:23 UTC 2024","Mon Mar 25 03:30:24 UTC 2024","1202","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Mon Mar 25 02:30:23 UTC 2024","Mon Mar 25 02:30:35 UTC 2024","11700","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Mon Mar 25 03:25:12 UTC 2024","Mon Mar 25 03:25:49 UTC 2024","37175","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Mon Mar 25 04:00:05 UTC 2024","Mon Mar 25 04:00:17 UTC 2024","11444","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Mon Mar 25 02:58:47 UTC 2024","Mon Mar 25 02:58:50 UTC 2024","2377","","6. Company Account","","","","6. Review Review Page",""
"passed","Mon Mar 25 02:32:28 UTC 2024","Mon Mar 25 02:32:28 UTC 2024","142","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Mon Mar 25 02:52:05 UTC 2024","Mon Mar 25 02:52:10 UTC 2024","5046","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Mon Mar 25 05:05:46 UTC 2024","Mon Mar 25 05:05:50 UTC 2024","4439","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Mon Mar 25 05:24:58 UTC 2024","Mon Mar 25 05:25:00 UTC 2024","2042","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Mar 25 05:04:08 UTC 2024","Mon Mar 25 05:04:11 UTC 2024","3317","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Mon Mar 25 04:07:36 UTC 2024","Mon Mar 25 04:08:16 UTC 2024","40214","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Mon Mar 25 02:24:08 UTC 2024","Mon Mar 25 02:24:30 UTC 2024","21822","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"skipped","Mon Mar 25 02:23:44 UTC 2024","Mon Mar 25 02:23:44 UTC 2024","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Mon Mar 25 03:25:01 UTC 2024","Mon Mar 25 03:25:01 UTC 2024","265","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Mon Mar 25 05:04:38 UTC 2024","Mon Mar 25 05:05:46 UTC 2024","67954","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Mon Mar 25 02:55:59 UTC 2024","Mon Mar 25 02:56:01 UTC 2024","1721","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Mon Mar 25 05:25:11 UTC 2024","Mon Mar 25 05:25:34 UTC 2024","22196","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Mon Mar 25 03:30:07 UTC 2024","Mon Mar 25 03:30:23 UTC 2024","15574","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Mon Mar 25 05:25:03 UTC 2024","Mon Mar 25 05:25:11 UTC 2024","8287","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Mon Mar 25 02:31:00 UTC 2024","Mon Mar 25 02:31:05 UTC 2024","5777","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Mar 25 04:48:35 UTC 2024","Mon Mar 25 04:48:45 UTC 2024","9644","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Mon Mar 25 02:30:05 UTC 2024","Mon Mar 25 02:30:23 UTC 2024","17453","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Mar 25 04:00:17 UTC 2024","Mon Mar 25 04:00:19 UTC 2024","1710","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Mar 25 04:00:45 UTC 2024","Mon Mar 25 04:00:47 UTC 2024","1697","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Mon Mar 25 03:26:04 UTC 2024","Mon Mar 25 03:26:05 UTC 2024","807","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Mon Mar 25 04:48:47 UTC 2024","Mon Mar 25 04:48:57 UTC 2024","9767","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Mon Mar 25 02:48:48 UTC 2024","Mon Mar 25 02:49:01 UTC 2024","13825","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Mar 25 05:03:24 UTC 2024","Mon Mar 25 05:03:33 UTC 2024","9168","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Mon Mar 25 04:50:56 UTC 2024","Mon Mar 25 04:51:04 UTC 2024","8168","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Mon Mar 25 03:24:48 UTC 2024","Mon Mar 25 03:25:00 UTC 2024","12241","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Mon Mar 25 03:28:25 UTC 2024","Mon Mar 25 03:28:43 UTC 2024","18128","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Mar 25 03:25:49 UTC 2024","Mon Mar 25 03:25:51 UTC 2024","2284","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Mon Mar 25 03:25:52 UTC 2024","Mon Mar 25 03:26:04 UTC 2024","11301","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Mon Mar 25 05:25:34 UTC 2024","Mon Mar 25 05:25:35 UTC 2024","1339","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Mon Mar 25 02:58:23 UTC 2024","Mon Mar 25 02:58:33 UTC 2024","10228","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Mon Mar 25 02:57:54 UTC 2024","Mon Mar 25 02:58:10 UTC 2024","16149","","6. Company Account","","","","1. Validate login credentials",""
"passed","Mon Mar 25 02:58:50 UTC 2024","Mon Mar 25 02:59:00 UTC 2024","10012","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Mon Mar 25 05:03:33 UTC 2024","Mon Mar 25 05:03:33 UTC 2024","17","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Mon Mar 25 03:00:45 UTC 2024","Mon Mar 25 03:01:56 UTC 2024","70763","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Mar 25 02:55:33 UTC 2024","Mon Mar 25 02:55:43 UTC 2024","10921","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Mon Mar 25 02:55:43 UTC 2024","Mon Mar 25 02:55:48 UTC 2024","4433","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Mar 25 02:26:59 UTC 2024","Mon Mar 25 02:28:03 UTC 2024","63770","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Mon Mar 25 05:24:48 UTC 2024","Mon Mar 25 05:24:58 UTC 2024","10227","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Mon Mar 25 05:05:58 UTC 2024","Mon Mar 25 05:06:37 UTC 2024","38688","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Mon Mar 25 05:05:50 UTC 2024","Mon Mar 25 05:05:56 UTC 2024","5869","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Mon Mar 25 03:28:04 UTC 2024","Mon Mar 25 03:28:21 UTC 2024","16677","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Mon Mar 25 02:32:25 UTC 2024","Mon Mar 25 02:32:28 UTC 2024","2938","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Mon Mar 25 02:36:28 UTC 2024","Mon Mar 25 02:36:41 UTC 2024","12832","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Mon Mar 25 05:03:38 UTC 2024","Mon Mar 25 05:04:04 UTC 2024","26658","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Mon Mar 25 03:30:29 UTC 2024","Mon Mar 25 03:30:30 UTC 2024","1386","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Mon Mar 25 02:24:39 UTC 2024","Mon Mar 25 02:24:54 UTC 2024","15371","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Mon Mar 25 02:55:28 UTC 2024","Mon Mar 25 02:55:33 UTC 2024","4985","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Mar 25 02:23:02 UTC 2024","Mon Mar 25 02:23:20 UTC 2024","18718","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Mar 25 02:32:28 UTC 2024","Mon Mar 25 02:32:37 UTC 2024","9096","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
